"","zip","sdi_decile"
"1413","05465",1
"1414","05468",1
"1415","05471",4
"1416","05472",2
"1417","05473",1
"1418","05474",2
"1419","05476",8
"1420","05477",1
"1421","05478",5
"1422","05481",NA
"1423","05482",2
"1424","05483",3
"1425","05485",1
"1426","05486",1
"1427","05487",3
"1428","05488",6
"1429","05489",1
"1430","05491",3
"1431","05492",3
"1432","05494",1
"1433","05495",2
"1434","05602",4
"1435","05640",1
"1436","05641",7
"1437","05647",5
"1438","05648",1
"1439","05649",1
"1440","05650",3
"1441","05651",2
"1442","05652",2
"1443","05653",4
"1444","05654",7
"1445","05655",2
"1446","05656",8
"1447","05657",2
"1448","05658",2
"1449","05660",1
"1450","05661",6
"1451","05663",4
"1452","05664",1
"1453","05667",5
"1454","05669",2
"1455","05672",4
"1456","05673",1
"1457","05674",4
"1458","05675",4
"1459","05676",3
"1460","05677",3
"1461","05678",2
"1462","05679",3
"1463","05680",4
"1464","05681",1
"1465","05682",2
"1466","05701",6
"1467","05730",3
"1468","05732",4
"1469","05733",3
"1470","05734",2
"1471","05735",4
"1472","05736",6
"1473","05737",1
"1474","05738",1
"1475","05739",4
"1476","05740",NA
"1477","05742",1
"1478","05743",6
"1479","05744",5
"1480","05747",4
"1481","05748",5
"1482","05751",1
"1483","05753",4
"1484","05757",2
"1485","05758",1
"1486","05759",2
"1487","05760",1
"1488","05761",2
"1489","05762",2
"1490","05763",3
"1491","05764",5
"1492","05765",1
"1493","05766",2
"1494","05767",3
"1495","05769",2
"1496","05770",4
"1497","05772",1
"1498","05773",2
"1499","05774",3
"1500","05775",9
"1501","05776",2
"1502","05777",2
"1503","05778",5
"1504","05819",6
"1505","05820",4
"1506","05821",2
"1507","05822",5
"1508","05824",4
"1509","05825",1
"1510","05826",3
"1511","05827",4
"1512","05828",2
"1513","05829",5
"1514","05830",4
"1515","05832",2
"1516","05833",1
"1517","05836",2
"1518","05837",5
"1519","05839",7
"1520","05841",1
"1521","05842",3
"1522","05843",4
"1523","05845",6
"1524","05846",5
"1525","05847",6
"1526","05850",4
"1527","05851",5
"1528","05853",2
"1529","05855",7
"1530","05857",4
"1531","05858",3
"1532","05859",5
"1533","05860",5
"1534","05862",1
"1535","05866",3
"1536","05867",3
"1537","05868",2
"1538","05871",6
"1539","05872",7
"1540","05873",2
"1541","05874",2
"1542","05875",3
"1543","05901",NA
"1544","05902",7
"1545","05903",4
"1546","05904",8
"1547","05905",2
"1548","05906",5
"1549","05907",2
"1550","06001",1
"1551","06002",4
"1552","06010",6
"1553","06013",1
"1554","06016",4
"1555","06018",5
"1556","06019",1
"1557","06020",NA
"1558","06021",1
"1559","06022",1
"1560","06023",4
"1561","06024",2
"1562","06026",3
"1563","06027",1
"1564","06029",2
"1565","06031",1
"1566","06032",3
"1567","06033",1
"1568","06035",1
"1569","06037",2
"1570","06039",4
"1571","06040",7
"1572","06042",4
"1573","06043",1
"1574","06051",10
"1575","06052",7
"1576","06053",9
"1577","06057",1
"1578","06058",3
"1579","06059",NA
"1580","06060",1
"1581","06061",1
"1582","06062",4
"1583","06063",1
"1584","06065",2
"1585","06066",6
"1586","06067",3
"1587","06068",4
"1588","06069",5
"1589","06070",1
"1590","06071",1
"1591","06073",1
"1592","06074",1
"1593","06076",3
"1594","06078",2
"1595","06081",4
"1596","06082",4
"1597","06084",1
"1598","06085",2
"1599","06088",2
"1600","06089",1
"1601","06090",1
"1602","06091",1
"1603","06092",1
"1604","06093",1
"1605","06095",2
"1606","06096",3
"1607","06098",6
"1608","06103",6
"1609","06105",10
"1610","06106",10
"1611","06107",1
"1612","06108",9
"1613","06109",2
"1614","06110",6
"1615","06111",3
"1616","06112",10
"1617","06114",10
"1618","06117",2
"1619","06118",7
"1620","06119",5
"1621","06120",10
"1622","06160",NA
"1623","06226",10
"1624","06231",1
"1625","06232",1
"1626","06234",4
"1627","06235",2
"1628","06237",1
"1629","06238",1
"1630","06239",7
"1631","06241",5
"1632","06242",2
"1633","06243",5
"1634","06247",1
"1635","06248",1
"1636","06249",2
"1637","06250",4
"1638","06254",1
"1639","06255",4
"1640","06256",3
"1641","06259",1
"1642","06260",6
"1643","06262",3
"1644","06263",5
"1645","06264",1
"1646","06266",4
"1647","06268",7
"1648","06269",1
"1649","06277",2
"1650","06278",4
"1651","06279",4
"1652","06280",5
"1653","06281",1
